salinity_group,replicate,threshold_kpa
Low Salinity,1,1.9486766
Low Salinity,2,1.9486766
Low Salinity,3,1.9486766
Low Salinity,4,1.9459128
Low Salinity,5,1.9459128
Low Salinity,6,1.9486766
Low Salinity,7,1.9459128
Low Salinity,8,1.945318
Low Salinity,9,1.9518082
Low Salinity,10,1.9486766
Low Salinity,11,1.9518082
Low Salinity,12,1.945318
Low Salinity,13,1.9486766
Low Salinity,14,1.9425234
Low Salinity,15,1.9521122
Low Salinity,16,1.9459128
Low Salinity,17,1.9486766
Low Salinity,18,1.9425234
Low Salinity,19,1.945318
Low Salinity,20,1.945318
Low Salinity,21,1.9425234
Low Salinity,22,1.947804
Low Salinity,23,1.9518082
Low Salinity,24,1.947804
Low Salinity,25,1.947804
Low Salinity,26,1.9480468
Low Salinity,27,1.9425234
Low Salinity,28,1.9425234
Low Salinity,29,1.945318
Low Salinity,30,1.945318
Low Salinity,31,1.9459128
Low Salinity,32,1.945318
Low Salinity,33,1.9486766
Low Salinity,34,1.9518082
Low Salinity,35,1.945318
Low Salinity,36,1.9459128
Low Salinity,37,1.9425234
Low Salinity,38,1.945318
Low Salinity,39,1.9459128
Low Salinity,40,1.9518082
Low Salinity,41,1.947804
Low Salinity,42,1.9518082
Low Salinity,43,1.9425234
Low Salinity,44,1.947804
Low Salinity,45,1.947804
Low Salinity,46,1.945318
Low Salinity,47,1.945318
Low Salinity,48,1.9459128
Low Salinity,49,1.9425234
Low Salinity,50,1.945318
Low Salinity,51,1.9486766
Low Salinity,52,1.9459128
Low Salinity,53,1.947804
Low Salinity,54,1.9459128
Low Salinity,55,1.945318
Low Salinity,56,1.9480468
Low Salinity,57,1.947804
Low Salinity,58,1.9486766
Low Salinity,59,1.9486766
Low Salinity,60,1.9425234
Low Salinity,61,1.945318
Low Salinity,62,1.9411958
Low Salinity,63,1.9480468
Low Salinity,64,1.9486766
Low Salinity,65,1.9459128
Low Salinity,66,1.947804
Low Salinity,67,1.9425234
Low Salinity,68,1.947804
Low Salinity,69,1.945318
Low Salinity,70,1.9377193
Low Salinity,71,1.9518082
Low Salinity,72,1.947804
Low Salinity,73,1.9459128
Low Salinity,74,1.9459128
Low Salinity,75,1.947804
Low Salinity,76,1.9486766
Low Salinity,77,1.9486766
Low Salinity,78,1.9459128
Low Salinity,79,1.9486766
Low Salinity,80,1.9459128
Low Salinity,81,1.9480468
Low Salinity,82,1.9411958
Low Salinity,83,1.9486766
Low Salinity,84,1.9486766
Low Salinity,85,1.945318
Low Salinity,86,1.945318
Low Salinity,87,1.947804
Low Salinity,88,1.9459128
Low Salinity,89,1.9480468
Low Salinity,90,1.9486766
Low Salinity,91,1.9425234
Low Salinity,92,1.9411958
Low Salinity,93,1.9459128
Low Salinity,94,1.9521122
Low Salinity,95,1.9459128
Low Salinity,96,1.945318
Low Salinity,97,1.9480468
Low Salinity,98,1.945318
Low Salinity,99,1.945318
Low Salinity,100,1.9486766
Low Salinity,101,1.945318
Low Salinity,102,1.9425234
Low Salinity,103,1.945318
Low Salinity,104,1.9401219
Low Salinity,105,1.9486766
Low Salinity,106,1.9459128
Low Salinity,107,1.947804
Low Salinity,108,1.9486766
Low Salinity,109,1.945318
Low Salinity,110,1.9425234
Low Salinity,111,1.947804
Low Salinity,112,1.947804
Low Salinity,113,1.9459128
Low Salinity,114,1.9425234
Low Salinity,115,1.9480468
Low Salinity,116,1.947804
Low Salinity,117,1.9425234
Low Salinity,118,1.9459128
Low Salinity,119,1.945318
Low Salinity,120,1.9521122
Low Salinity,121,1.9425234
Low Salinity,122,1.9425234
Low Salinity,123,1.945318
Low Salinity,124,1.9486766
Low Salinity,125,1.947804
Low Salinity,126,1.9459128
Low Salinity,127,1.945318
Low Salinity,128,1.945318
Low Salinity,129,1.9486766
Low Salinity,130,1.9425234
Low Salinity,131,1.9486766
Low Salinity,132,1.945318
Low Salinity,133,1.9486766
Low Salinity,134,1.945318
Low Salinity,135,1.9486766
Low Salinity,136,1.9411958
Low Salinity,137,1.945318
Low Salinity,138,1.945318
Low Salinity,139,1.9425234
Low Salinity,140,1.9459128
Low Salinity,141,1.9486766
Low Salinity,142,1.9425234
Low Salinity,143,1.9480468
Low Salinity,144,1.9486766
Low Salinity,145,1.9480468
Low Salinity,146,1.9459128
Low Salinity,147,1.947804
Low Salinity,148,1.9425234
Low Salinity,149,1.9486766
Low Salinity,150,1.9518082
Low Salinity,151,1.947804
Low Salinity,152,1.947804
Low Salinity,153,1.9425234
Low Salinity,154,1.9486766
Low Salinity,155,1.945318
Low Salinity,156,1.9486766
Low Salinity,157,1.9459128
Low Salinity,158,1.9425234
Low Salinity,159,1.9486766
Low Salinity,160,1.945318
Low Salinity,161,1.9486766
Low Salinity,162,1.945318
Low Salinity,163,1.9486766
Low Salinity,164,1.9486766
Low Salinity,165,1.945318
Low Salinity,166,1.9486766
Low Salinity,167,1.9486766
Low Salinity,168,1.9459128
Low Salinity,169,1.9486766
Low Salinity,170,1.9425234
Low Salinity,171,1.945318
Low Salinity,172,1.945318
Low Salinity,173,1.945318
Low Salinity,174,1.9486766
Low Salinity,175,1.945318
Low Salinity,176,1.9459128
Low Salinity,177,1.947804
Low Salinity,178,1.9480468
Low Salinity,179,1.945318
Low Salinity,180,1.9486766
Medium Salinity,1,1.9601823
Medium Salinity,2,1.9596543
